지점,지점명,일시,최고기온(°C),최저기온(°C),평균현지기압(hPa),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10),합계 일조시간(hr),일조율(%)
98,동두천,2024-03,23.6,-10.2,1004.4,57,38,1.6,3.9,209.1,56.29
98,동두천,2024-04,30.4,2.2,1000.3,59,22.2,1.3,4.5,221.6,55.93
98,동두천,2024-05,28.8,5.5,999.5,73,140.6,1.3,3.8,237.3,53.74
98,동두천,2024-06,35.2,11.6,994.2,71,96.7,1.1,3.8,271.5,61.3
98,동두천,2024-07,32.8,20.6,993.1,91,378.2,1.5,6.9,98.5,21.93
98,동두천,2024-08,35.2,19.7,994,87,146.5,.9,4.6,201.1,47.73
98,동두천,2024-09,35,12.1,1000,86,178,.8,5.6,163.1,43.77
98,동두천,2024-10,24.9,3.8,1006.7,84,57.2,.7,4.7,157.7,45.39
98,동두천,2024-11,24.3,-5.5,1008.3,70,34.2,1,4.2,167.5,55.03
98,동두천,2024-12,13.5,-11.3,1009.5,65,7.6,1.1,2.8,193.5,65.02
98,동두천,2025-01,10.8,-16.5,1010,71,19.1,1.1,4,166.1,54.16
98,동두천,2025-02,14.2,-15.4,1010.2,62,3.5,1.5,2.2,213.7,70.64
98,동두천,2025-03,24.9,-5.2,1004.5,62,37.7,1.6,4.4,225,60.6
99,파주,2023-04,27.2,-1.3,1011.8,68,102.3,1.7,5.2,185.5,46.94
99,파주,2023-05,29.6,3.6,1010.1,76,139.2,1.4,5.2,232.7,52.79
99,파주,2023-06,32.3,12.8,1003.9,85,212,1.1,5.3,188.7,42.62
99,파주,2023-07,33.3,18.4,1004.1,91,441,1.2,6.2,157.9,35.11
99,파주,2023-08,33.4,18.7,1002.6,90,247.8,1.2,6.5,160.1,37.93
99,파주,2023-09,32,12.8,1010.3,88,43.1,1.2,6.1,168,44.97
99,파주,2023-10,24,-.5,1016,83,46.5,1,4.1,203,58.3
99,파주,2023-11,24.8,-9.7,1018.8,75,75.5,1.6,3.7,167.4,54.87
99,파주,2023-12,15.6,-17.6,1022.2,77,72,1.5,4.1,145.6,48.88
99,파주,2024-01,9.3,-15.1,1022.9,75,12.1,1.2,3.1,175.1,57.2
99,파주,2024-02,16.2,-8.7,1021.8,80,71.9,1.5,5.8,130.1,41.55
99,파주,2024-03,23.1,-10.5,1015.5,66,20.4,1.9,3.8,210.8,56.74
99,파주,2024-04,27.8,-.7,1011,69,23.3,1.5,4.4,215.5,54.38
99,파주,2024-05,27.4,4.6,1010.2,79,130.7,1.4,4,241,54.61
99,파주,2024-06,34,11,1004.6,77,56.7,1.2,3.4,280.2,63.26
99,파주,2024-07,33.2,20.4,1003.2,91,871,1.5,6.8,103.1,22.95
99,파주,2024-08,35.4,18.6,1004.1,87,92.1,1.1,4.4,236.2,56.1
99,파주,2024-09,34.5,12,1010.3,86,114.2,1.3,5.6,175.4,47.07
99,파주,2024-10,24.7,2.7,1017.4,85,52.4,1,4.7,160.8,46.26
99,파주,2024-11,23.6,-7,1019.3,75,22.3,1.1,4,181.5,59.65
99,파주,2024-12,12.3,-14.2,1021,70,5.5,1,2.9,202.8,68.08
99,파주,2025-01,9.6,-18.4,1021.5,73,20.2,1.1,3.9,173.4,56.56
99,파주,2025-02,12.1,-17.3,1022,64,2.9,1.6,2.5,217,71.74
99,파주,2025-03,23.2,-6.6,1015.6,68,35.3,1.8,4.5,222.5,59.94
100,대관령,2023-04,20.9,-2.8,925.5,65,54.5,4,4.9,218.4,55.28
100,대관령,2023-05,27.8,-2.3,926.2,71,92.5,2.6,5.8,223,50.68
100,대관령,2023-06,29.7,7.4,921.6,81,194.3,2.7,5.8,211.2,49.38
100,대관령,2023-07,31.6,11.1,923.2,87,181.9,2.6,6.8,149.7,33.33
100,대관령,2023-08,31.8,13.6,922.3,88,303.8,2.1,7,142,33.67
100,대관령,2023-09,26.5,6.4,928.1,89,190.2,1.7,6.4,139.9,37.47
100,대관령,2023-10,19.5,-1.7,930.2,79,31.2,2.1,4.1,209.7,60.14
100,대관령,2023-11,21.6,-13.2,929,65,39.9,4.6,3.4,188.2,61.6
100,대관령,2023-12,12.8,-20.4,930.7,75,155.2,3.8,4.1,160.8,53.85
100,대관령,2024-01,6.5,-21.9,930.5,73,16.8,3.7,3.6,130.4,53.14
100,대관령,2024-02,12.3,-15.9,932.4,86,119.6,2.6,6.7,,
100,대관령,2024-03,15.3,-15.6,926.4,65,52.7,3.5,4.5,112.6,57.27
100,대관령,2024-04,26.1,-3.8,926.4,70,53.9,2.4,4.9,214,54.07
100,대관령,2024-05,27.4,-1.3,925.5,66,64.9,3.1,4.4,264.7,60.05
100,대관령,2024-06,30.6,2,922.4,72,110.9,2.2,4.4,289.4,65.42
100,대관령,2024-07,30.8,13.6,922.2,86,211.6,3.9,7.1,148.4,33.08
100,대관령,2024-08,31.3,14.6,924.2,85,95.2,2.1,4.8,233.3,55.43
100,대관령,2024-09,30.5,5.9,929,90,249,1.8,6.8,147.3,39.53
100,대관령,2024-10,21.2,-1.2,932.5,87,163.6,1.7,5.9,146,41.98
100,대관령,2024-11,18,-11,931.4,82,29.3,2.6,4.9,166.2,54.53
100,대관령,2024-12,7.9,-15,928.4,61,2.2,4.5,2.9,219.6,73.57
100,대관령,2025-01,4.8,-23.2,929,71,15.6,3.9,4.4,198.1,64.51
100,대관령,2025-02,8.7,-20,928.3,58,.4,4.5,2.7,254.1,83.89
100,대관령,2025-03,19.7,-19.3,927.3,69,115.5,3.4,5,223.9,60.32
101,춘천,2023-04,27.3,-1.5,1005.5,58,90.6,1.8,5.1,174.4,44.12
101,춘천,2023-05,30.7,3.8,1004.2,62,115.6,1.6,5.3,249.5,56.6
101,춘천,2023-06,33.3,12.6,998,70,263.2,1.6,5.6,226.5,51.14
101,춘천,2023-07,34.4,18.2,998.6,79,313.5,1.3,6.3,165.6,36.82
101,춘천,2023-08,34.9,19.1,997.2,77,215.2,1.6,6.7,173.5,41.1
101,춘천,2023-09,32.2,13.7,1004.7,78,122.8,1.5,6.3,147.5,39.48
101,춘천,2023-10,23.4,.4,1010,78,28.2,1.1,4.9,163.1,46.84
101,춘천,2023-11,25.5,-9,1012,66,86.2,1.5,3.6,150.1,49.21
101,춘천,2023-12,16.4,-15.7,1015.5,72,91.8,1.4,4.3,130.4,43.8
101,춘천,2024-01,11,-16.1,1015.9,68,9.3,1.3,3.5,157,51.31
101,춘천,2024-02,17.3,-7.4,1015.5,72,54.3,1.5,6.3,112.8,36.02
101,춘천,2024-03,22.3,-11.2,1008.7,57,44.3,1.6,4.3,180.8,48.65
101,춘천,2024-04,30.4,.8,1004.8,57,31.4,1.7,4.6,198.3,50.04
101,춘천,2024-05,28.9,5.6,1003.8,63,117.8,1.6,4.1,249.5,56.52
101,춘천,2024-06,35.5,11.2,998.4,63,141.8,1.4,4,284,64.12
101,춘천,2024-07,33.2,20.6,997.6,79,439.9,1.3,7.2,114.2,25.41
101,춘천,2024-08,35.4,19.8,998.5,75,76.4,.9,4.3,227.2,53.95
101,춘천,2024-09,34.7,11.5,1004.9,78,207.4,1.4,6,158.2,42.46
101,춘천,2024-10,24,5.4,1011.4,79,64.9,1.2,5.6,135.2,38.9
101,춘천,2024-11,22.4,-6.4,1012.6,71,29.7,1.1,4.2,170.6,56.06
101,춘천,2024-12,12,-11.6,1013.2,62,2.4,1.2,2.7,162.6,60.45
101,춘천,2025-01,9.7,-17.9,1014.4,71,17.8,1.2,4.2,145.9,47.59
101,춘천,2025-02,12.8,-16.5,1014.1,56,1.7,1.7,2,224.3,74.15
101,춘천,2025-03,24.3,-5.8,1008.8,59,33.7,1.8,4.8,200.8,54.11
102,백령도,2023-04,20.2,4.8,1009.3,66,52.4,4.3,5.1,192,48.56
102,백령도,2023-05,23.8,8.8,1007.4,76,136.7,3.7,6,216.6,49.12
102,백령도,2023-06,28.2,13.8,1001.5,85,95.7,3.2,5.8,230.5,52.06
102,백령도,2023-07,29.7,18.5,1001.1,89,141.9,3.2,6.8,177.2,39.37
102,백령도,2023-08,30.7,19.7,1000.2,86,249.1,2.7,5.6,208.6,49.41
102,백령도,2023-09,28.4,15.3,1008.1,81,18.1,2.3,5.6,199.2,53.33
102,백령도,2023-10,23.8,9.5,1013.6,70,19.9,4,4,214.8,61.65
102,백령도,2023-11,22.7,-2.4,1016.4,66,107.7,5.9,6.6,123.8,40.6
102,백령도,2023-12,14.6,-9.6,1019.5,74,74.8,4.9,6.7,84.4,28.37
102,백령도,2024-01,7.8,-10.2,1020.8,67,15.2,4.9,5.3,139.2,45.49
102,백령도,2024-02,11.4,-4.1,1019.6,71,53.3,4.8,5.5,145.8,46.57
102,백령도,2024-03,18.8,-5.4,1013.4,64,28.5,4.6,4,229.9,61.87
102,백령도,2024-04,21.4,4.7,1008.8,72,70.7,3.3,4.9,227.8,57.5
102,백령도,2024-05,22.8,8.3,1007.8,77,64.1,3.5,4.8,242.3,54.87
102,백령도,2024-06,28.9,13.3,1002.5,78,45.6,2.8,4.7,278.7,62.91
102,백령도,2024-07,28.6,18.5,999.7,91,178.3,4.1,7.7,102.7,22.84
102,백령도,2024-08,31.2,20.6,1001.6,85,130.8,2.6,5,231.5,54.95
102,백령도,2024-09,29,16.6,1007.9,82,77.5,2.7,5.1,193.2,51.85
102,백령도,2024-10,22.7,10.8,1015.2,70,113.8,3.6,4.4,212.1,61.07
102,백령도,2024-11,20.4,-1,1017.3,61,67.1,4.7,4.9,172.9,56.8
102,백령도,2024-12,12.4,-3.5,1018.7,,13,5.6,5.8,131,44.06
102,백령도,2025-01,8.6,-9.7,1019,,16,4.9,5.2,143.2,46.72
102,백령도,2025-02,9.5,-9.2,1019.9,,14.2,6.2,4.5,157.7,52.12
102,백령도,2025-03,17.6,-1.1,1013.6,63,15.3,4.7,4.5,229.8,61.89
104,북강릉,2023-04,28.1,4.4,1004.4,57,32.7,1.8,4.5,222.5,58.31
104,북강릉,2023-05,33.8,4.8,1003.8,64,91.4,1.3,5.8,237.2,53.85
104,북강릉,2023-06,33.1,14.2,997.6,73,171.3,1.2,5.5,247.7,55.98
104,북강릉,2023-07,33.4,18,997.9,79,109.1,1.1,6.5,178.7,39.75
104,북강릉,2023-08,35.6,18.8,997.5,85,502.9,1,7.2,148.8,35.25
104,북강릉,2023-09,30.4,12.4,1004.8,84,240.1,.8,6.3,161.9,43.36
104,북강릉,2023-10,25.2,7,1008.4,62,21.3,1.2,3.7,218.3,62.64
104,북강릉,2023-11,27.7,-6.2,1009.2,49,59.9,1.8,3,222.8,72.98
104,북강릉,2023-12,20.3,-12,1013.3,57,248.4,1.6,3.6,188.5,63.15
104,북강릉,2024-01,12.1,-12.4,1013.4,55,31.3,1.4,3.1,206.1,67.27
104,북강릉,2024-02,19.4,-3.3,1015.3,76,165.6,1.1,6.5,103.3,32.97
104,북강릉,2024-03,21,-7.6,1007.7,59,66.6,1.5,4.2,208.5,56.11
104,북강릉,2024-04,27.1,2.2,1005,62,38.7,1.3,4.6,217.3,54.87
104,북강릉,2024-05,31.9,7.4,1002.8,59,84.6,1.5,4.2,274.1,62.15
104,북강릉,2024-06,33.7,11.3,998,71,89.1,1,4.6,287.1,64.88
104,북강릉,2024-07,35.8,18.9,996.6,76,116.6,1.3,7.2,162.1,36.12
104,북강릉,2024-08,36.5,20,998.9,80,77.4,1,4.3,244.2,57.98
104,북강릉,2024-09,32.9,12.2,1005.6,86,546.3,.9,6.9,125.7,33.74
104,북강릉,2024-10,23.6,8.4,1011,77,163.1,.9,5.6,144,41.45
104,북강릉,2024-11,24.8,-2.2,1011.5,65,54.7,1.2,4.6,171.7,56.37
104,북강릉,2024-12,14.9,-6.5,1010.4,40,16.1,1.5,2.4,222.2,74.46
104,북강릉,2025-01,10,-11.2,1011.8,47,17.8,1.7,2.9,223.2,72.73
104,북강릉,2025-02,18.1,-11.2,1011,36,0,1.9,1.6,243.1,80.28
104,북강릉,2025-03,25.7,-3.4,1008.3,59,117.7,1.6,4.9,213.8,57.57
105,강릉,2023-04,28.1,5.2,1010.7,54,33.4,2.6,4.8,221.1,55.96
105,강릉,2023-05,35.5,7.2,1009.9,59,91.1,2.1,5.9,223.4,50.72
105,강릉,2023-06,34.5,15.8,1003.6,66,160,2,5.6,220.3,49.79
105,강릉,2023-07,37.3,18.1,1003.8,72,104.7,1.8,6.4,161.1,35.83
105,강릉,2023-08,38.4,20.7,1003.4,80,520.8,1.6,6.6,139,32.93
105,강릉,2023-09,31.9,14.5,1010.9,80,236.8,1.7,6.1,149,39.9
105,강릉,2023-10,26.7,7.1,1014.6,59,26.1,2.4,3.9,213.7,61.32
105,강릉,2023-11,29.1,-4.6,1015.5,48,41,2.9,3.4,215.9,70.72
105,강릉,2023-12,20.5,-11.1,1019.9,56,229.2,2.7,3.8,186.1,62.35
105,강릉,2024-01,12.5,-11.3,1020,54,46.8,2.6,3.5,200.6,65.47
105,강릉,2024-02,20.2,-2.8,1021.9,75,175.3,1.8,6.5,95.6,30.51
105,강릉,2024-03,20.9,-6.3,1014.2,58,66,2.3,4.4,204.3,54.98
105,강릉,2024-04,29.2,2.4,1011.1,60,41.9,1.9,4.6,212.4,53.64
105,강릉,2024-05,33.3,7.3,1008.8,56,76.8,2.4,4.3,259,58.73
105,강릉,2024-06,35.3,12.3,1003.9,65,93.8,1.8,4.3,273.3,61.76
105,강릉,2024-07,37,19.9,1002.5,72,115.7,2.4,6.8,152.4,33.96
105,강릉,2024-08,37.6,20.7,1004.5,73,87.2,1.9,4.3,231.9,55.06
105,강릉,2024-09,34.2,13.8,1011.5,83,479.5,1.7,6.6,113.6,30.49
105,강릉,2024-10,24.4,9.3,1017.2,74,167.4,1.9,5.8,142.4,40.99
105,강릉,2024-11,25.5,.4,1017.8,64,32.9,2.2,4.7,157.5,51.71
105,강릉,2024-12,15.4,-4.6,1017,42,16.9,2.8,2.5,218.3,73.16
105,강릉,2025-01,11.7,-9.6,1018.3,49,16.5,2.8,3.1,217,70.71
105,강릉,2025-02,17.5,-10.4,1017.6,38,,3.1,1.6,240.7,79.49
105,강릉,2025-03,25.2,-3.2,1014.6,60,119.8,2.3,5,203.9,54.9
106,동해,2023-04,29.6,5.9,1009.1,58,11.4,2.4,4.6,225.8,57.18
106,동해,2023-05,34.3,6.1,1008.4,69,73.6,1.8,5.6,238.6,54.26
106,동해,2023-06,32.1,14.8,1002.2,77,111.6,1.7,5.7,241.2,54.62
106,동해,2023-07,34,18.6,1002.5,87,75.4,1.3,6.5,175.6,39.14
106,동해,2023-08,35.7,20,1001.8,89,392.8,1.6,6.5,181.7,43.13
106,동해,2023-09,30,13.4,1009.2,87,261.2,1.6,5.9,170.5,45.66
106,동해,2023-10,24.7,6.3,1013,65,31.2,1.9,3.9,213.1,61.13
106,동해,2023-11,27.2,-2.9,1014,49,74.6,2.1,3.3,207,67.74
106,동해,2023-12,19.1,-8.7,1018,55,181.2,2.1,3.8,186.1,62.3
106,동해,2024-01,13.2,-9.6,1018.2,54,55.2,1.9,3.6,196.8,64.06
106,동해,2024-02,19.9,-1.8,1020,77,153.6,1.8,6.6,94.8,30.22
106,동해,2024-03,21.2,-4.3,1012.5,61,71.2,2.1,4.6,174.7,52.16
106,동해,2024-04,26.4,2.1,1009.4,67,33.6,2.4,4.8,205.5,51.95
106,동해,2024-05,31.1,5.7,1007.4,62,57.9,2.5,4.4,255.9,58.08
106,동해,2024-06,33.9,11.7,1002.6,73,81.7,2,4.3,275.8,62.43
106,동해,2024-07,36.6,18.8,1001.3,78,135.3,1.9,6.8,155.4,34.67
106,동해,2024-08,38.5,20.4,1003.4,81,72.7,1.9,4.3,238.9,56.79
106,동해,2024-09,33.5,12.9,1009.8,86,413.4,2.3,6.7,124.7,33.48
106,동해,2024-10,25.1,7.8,1015.6,79,122.4,2.3,5.9,132.9,38.21
106,동해,2024-11,23.3,-.6,1016.2,67,64.5,2.5,5,87.3,40.53
106,동해,2024-12,17.6,-3.1,1015.3,39,13.5,3,2.5,211.4,70.77
106,동해,2025-01,11.7,-10.4,1016.6,45,25.7,3,3,215,69.87
106,동해,2025-02,17.2,-10.2,1015.9,35,.3,3.2,1.6,229.7,75.81
106,동해,2025-03,26.2,-3.6,1013,60,86.7,3.2,5.1,197.7,53.23
108,서울,2023-04,28.4,3.1,1004,60,96.9,2.5,5.4,182.3,46.18
108,서울,2023-05,31.2,7.9,1002.4,63,155.6,2.3,5.3,235.6,53.57
108,서울,2023-06,34,16.6,996.5,73,195.6,2.2,5.7,195.1,44.13
108,서울,2023-07,34.9,21.6,996.9,81,459.9,2.1,6.7,146.1,32.55
108,서울,2023-08,35.8,20.8,995.1,76,298.1,2.2,6.5,156.1,37.03
108,서울,2023-09,32.8,15.2,1002.5,74,134.5,2,6.2,157.1,42.06
108,서울,2023-10,24.6,5.4,1008,67,31,1.9,3.7,208.7,59.85
108,서울,2023-11,25.9,-7.3,1010.5,65,81.9,2.6,3.8,171.9,56.23
108,서울,2023-12,16.8,-14.7,1013.5,69,85.9,2.4,4.4,142.2,49.17
108,서울,2024-01,10.6,-14,1014.1,67,18.9,2.3,3.9,177.4,57.77
108,서울,2024-02,18.3,-3.1,1013.1,73,74.7,2.5,6,109.3,34.85
108,서울,2024-03,23.4,-8.1,1007.5,57,29.9,2.7,4.1,190.6,54.8
108,서울,2024-04,29.4,5.5,1003.5,56,33.2,2.4,4.8,209.2,52.85
108,서울,2024-05,28.5,6.9,1002.8,63,125.1,2.4,4.2,262,59.46
108,서울,2024-06,35.8,15.7,997.3,61,115.9,2.2,4.2,285.6,64.6
108,서울,2024-07,33.3,21.3,996.1,81,557.3,2.5,7.9,96.3,21.48
108,서울,2024-08,36.4,22.6,996.7,73,72.8,2.1,4.9,179,42.56
108,서울,2024-09,34.6,15.6,1002.5,72,143.9,2.3,5.2,166.9,44.79
108,서울,2024-10,25.7,7.1,1009.2,70,74,2,4.7,166.4,47.84
108,서울,2024-11,25.1,-3.4,1010.8,63,60,2,4,182.9,61.96
108,서울,2024-12,13,-7.7,1012.2,56,5.7,2.2,2.9,206.3,69.07
108,서울,2025-01,11.4,-12.2,1012.6,61,19.5,2.3,3.8,168.6,54.81
108,서울,2025-02,14.2,-11.8,1012.9,56,5.2,2.6,1.9,222.6,73.44
108,서울,2025-03,24,-1.9,1007,56,38.2,2.8,4.6,218.4,58.82
112,인천,2023-04,24.6,3.9,1006.4,61,70.4,3.1,5.3,189.1,47.9
112,인천,2023-05,26.6,9.1,1004.8,67,133.8,2.4,5.4,229.9,52.29
112,인천,2023-06,31.8,15.9,998.9,77,116.2,2.2,5.7,229.9,52.07
112,인천,2023-07,33.7,21.3,999.1,84,370.8,2.4,6.7,182.6,40.7
112,인천,2023-08,34.6,20.5,997.5,80,297.5,2.1,6.2,189.9,45.07
112,인천,2023-09,31.3,16.9,1004.9,75,129.2,1.6,6.1,168.5,45.13
112,인천,2023-10,23.4,7.3,1010.4,65,16.8,2.3,3.7,224.4,64.35
112,인천,2023-11,23.2,-6.5,1013.1,66,63.1,3.3,4.2,156.7,51.26
112,인천,2023-12,16,-14.2,1016,69,75.9,3,4.6,139.9,46.82
112,인천,2024-01,8.5,-13.6,1016.8,67,16.3,3,4,172.4,56.12
112,인천,2024-02,15,-3,1015.7,74,63.8,2.9,5.8,134,42.72
112,인천,2024-03,21.5,-7.7,1009.9,62,19.2,3.3,4,220.1,59.26
112,인천,2024-04,25.5,6.3,1005.6,64,35.3,2.4,5,217.9,55.08
112,인천,2024-05,25.1,7.2,1005,73,122.6,2.6,4.5,262.9,59.67
112,인천,2024-06,31.7,15.8,999.7,71,101.8,2.4,4.1,305.9,69.29
112,인천,2024-07,33.3,20.6,998.3,87,342.9,3,7.7,125.3,27.96
112,인천,2024-08,35.6,22.8,999.2,78,86.7,2.2,4.4,238.1,56.62
112,인천,2024-09,34.4,17.1,1004.9,75,122.9,2.3,5.4,183.4,49.23
112,인천,2024-10,25.2,8.5,1011.7,70,82.1,2.2,4.5,180.7,51.96
112,인천,2024-11,23.5,-2.8,1013.5,63,62.2,2.6,3.9,179.6,58.83
112,인천,2024-12,12.6,-6.7,1015,57,5,2.8,3,194.4,65.08
112,인천,2025-01,10,-11.7,1015.4,63,19.6,2.8,3.7,167.2,54.32
